Date,Open,Adj. High,Adj. Low,Close,Adj. Close,Volume
2000-01-01,31.499638,34.040932,29.716646,102.750000,33.692535,18663600
2000-01-08,32.934246,33.979458,32.442387,99.312500,32.565353,13876000
2000-01-15,31.889046,32.770290,30.987291,94.937500,31.130754,12339400
2000-01-22,31.417664,32.237442,29.593678,92.250000,30.249510,20345200
2000-01-29,30.249510,31.930025,29.204287,89.062500,29.204287,15663200
2000-02-05,29.265779,29.573183,26.663008,82.937500,27.195866,17931400
2000-02-12,27.298332,30.126534,27.011400,87.562500,28.712435,15943800
2000-02-19,28.773909,30.802835,27.933649,85.750000,28.118103,14772800
2000-02-26,28.692131,31.229250,27.928951,89.500000,29.537848,15500600
2000-03-04,29.475977,30.115400,26.526299,81.500000,26.897598,20951200
2000-03-11,26.072515,29.455332,25.804359,85.875000,28.341482,20057400
2000-03-18,28.362097,30.775463,27.970198,90.875000,29.991638,21857000
2000-03-25,30.012264,30.362930,28.836515,88.562500,29.228445,14598000
2000-04-01,29.496590,31.538652,29.455332,91.625000,30.239164,14845800
2000-04-08,30.321674,32.446255,29.145916,90.812500,29.971010,17811200
2000-04-15,29.434717,30.466057,29.042797,92.250000,30.445435,8961800
2000-04-22,30.115400,32.219349,28.155849,86.625000,28.588999,27341200
2000-04-29,28.609625,29.228445,27.970198,86.687500,28.609625,13523400
2000-05-06,28.960283,29.001551,27.887678,84.875000,28.011452,9893400
2000-05-13,28.176455,30.136030,27.640154,84.500000,27.887678,13228400
2000-05-20,28.151491,29.480171,27.653229,84.000000,27.902365,11635400
2000-05-27,28.109970,29.002682,27.902365,84.312500,28.006151,9075800
2000-06-03,28.109970,28.255291,26.719002,81.937500,27.217255,13649800
2000-06-10,27.238016,29.023432,27.113459,84.437500,28.047691,14935400
2000-06-17,28.193008,29.148008,26.926605,84.437500,28.047691,12873200
2000-06-24,28.026920,29.189522,27.398893,83.000000,27.570196,13564400
2000-07-01,27.570196,29.687773,27.570196,86.125000,28.608221,10219800
2000-07-08,28.317570,30.186039,28.276047,87.875000,29.189522,12851800
2000-07-15,28.898865,29.583977,28.338329,86.375000,28.691265,10124600
2000-07-22,28.566702,30.435167,28.566702,91.000000,30.227554,13028400
2000-07-29,30.206812,30.331369,29.521683,90.000000,29.895382,11081400
2000-08-05,29.895382,32.365906,29.895382,96.750000,32.137550,15122200
2000-08-12,31.971460,31.971460,31.161787,95.125000,31.597759,9035200
2000-08-19,31.680801,32.220589,31.390160,95.750000,31.805378,7532600
2000-08-26,32.081619,32.562000,30.911963,92.500000,30.911963,10590600
2000-09-02,30.891075,32.060707,29.742323,89.937500,30.055628,12566000
2000-09-09,30.243603,30.264479,28.113176,85.125000,28.447365,16561800
2000-09-16,28.196722,29.909407,26.901770,88.250000,29.491686,22958200
2000-09-23,29.408138,31.225275,29.324591,91.125000,30.452454,21795400
2000-09-30,30.723986,32.081619,30.348036,92.187500,30.807539,14798000
2000-10-07,30.849297,31.893621,30.243603,91.000000,30.410696,17600200
2000-10-14,30.619560,31.705641,28.050522,87.250000,29.157492,26090400
2000-10-21,30.744871,31.413248,29.575237,93.500000,31.246161,15261800
2000-10-28,31.162594,32.729099,30.765753,94.875000,31.705641,15085200
2000-11-04,31.663866,33.334797,31.496788,95.000000,31.747425,12222400
2000-11-11,31.455021,32.541115,30.995518,96.000000,32.081619,14233000
2000-11-18,32.227810,32.415783,31.496788,95.812500,32.018940,8543200
2000-11-25,32.300465,34.044743,31.985260,99.625000,33.498344,16495800
2000-12-02,33.582405,40.013077,33.435299,116.937500,39.319569,67703200
2000-12-09,38.941303,39.109440,37.049934,112.187500,37.722424,20293200
2000-12-16,38.289825,39.004353,36.818764,112.750000,37.911556,20973200
2000-12-23,38.121712,41.337044,37.722424,120.500000,40.517464,11606600
2000-12-30,39.718872,40.853695,37.176003,114.562500,38.521008,21833000
2001-01-06,37.995628,38.794209,36.482517,109.687500,36.881813,21640200
2001-01-13,37.197037,38.163754,35.599873,106.750000,35.894085,25227000
2001-01-20,35.831043,37.554295,34.990456,107.312500,36.083225,18464200
2001-01-27,36.082397,38.160370,35.598190,108.730003,36.559864,18887200
2001-02-03,36.415276,38.382298,36.415276,110.660004,37.208813,13019000
2001-02-10,37.148273,38.802612,36.653996,113.220001,38.069599,16620800
2001-02-17,38.072948,38.580685,36.526222,110.400002,37.121372,16623200
2001-02-24,37.520893,38.558632,36.682590,111.330002,37.632442,21724200
2001-03-03,37.926517,40.478611,37.672997,116.410004,39.349606,19617000
2001-03-10,39.211014,39.481434,35.327091,106.010002,35.834145,37718000
2001-03-17,35.834145,37.013836,33.295551,101.750000,34.394146,40500800
2001-03-24,34.309635,35.999763,33.988522,103.900002,35.120895,25127600
2001-03-31,35.019497,35.864552,32.842613,102.000000,34.478653,28851400
2001-04-07,35.087101,37.791321,34.836948,107.730003,36.415546,19560800
2001-04-14,36.412155,39.633553,36.412155,112.500000,38.027924,22791000
2001-04-21,38.061722,40.454937,37.527653,118.980003,40.218334,21418600
2001-04-28,40.214958,41.212135,38.991295,119.989998,40.559731,21077200
2001-05-05,40.309601,40.799732,39.133274,117.379997,39.677486,13755800
2001-05-12,39.677486,42.929302,39.633553,123.050003,41.594109,23646600
2001-05-19,41.823383,42.078213,40.094051,118.769997,40.352261,17132000
2001-05-26,40.430420,41.018177,39.356792,119.410004,40.569714,13882400
2001-06-02,40.447388,41.819988,40.270737,120.110001,40.807537,12735000
2001-06-09,40.821133,42.129173,40.447388,120.879997,41.069145,16422800
2001-06-16,41.109909,42.003456,39.241283,116.779999,39.676174,23957400
2001-06-23,39.750908,40.321682,38.731663,114.099998,38.765625,19137200
2001-06-30,37.117836,39.920795,37.117836,114.599998,38.935505,19891400
2001-07-07,38.731663,39.207317,37.372662,112.230003,38.130299,17605000
2001-07-14,37.831310,39.411160,37.389637,113.000000,38.391895,19116400
